question_id,difficulty_level,question,option_a,option_b,option_c,option_d,correct_option,expected_time,minimum_time
37,1.7,Probability of getting an even number in a single throw of a die is:,01-Mar,01-Feb,01-Jun,02-Mar,B,15,3
38,0.9,Matrix multiplication is:,Commutative,Associative,Both,Neither,B,25,5
39,-1.4,Find the derivative of x^x.,x^x(1+log x),x^x(log x),x*x^(x-1),1,A,60,10
40,2.3,Evaluate the integral of tan x dx.,log|sec x|,log|sin x|,-log|sec x|,sec^2 x,A,35,6
41,-0.1,A skew symmetric matrix must have diagonal elements as:,1,0,-1,Any value,B,15,3
42,1.6,The angle between two vectors a and b is given by cos(theta) = :,(a.b)/(|a||b|),(a x b)/(|a||b|),a.b,|a||b|,A,35,6
43,2.7,The rate of change of area of a circle with respect to its radius r at r=6cm is:,6pi,12pi,36pi,10pi,B,40,8
44,-2.2,Integrate x^2 dx from 0 to 3.,9,27,3,18,A,30,5
45,0.5,Maximum value of sin x + cos x is:,1,2,sqrt(2),01-Feb,C,40,8
46,1.1,"Relation R on {1,2,3} given by {(1,1),(2,2)} is:",Reflexive,Symmetric,Transitive,Both B and C,D,40,8
47,2.9,"The corner points for LPP are (0,0),(5,0),(3,4),(0,5). Maximize Z = 4x+3y.",20,24,15,25,B,60,10
48,-0.6,Integration of sec^2 x dx is:,tan x,cot x,sec x,tan^2 x,A,15,3
49,1.2,Find the modulus of 3i - 4j.,5,7,1,25,A,20,4
50,0.3,The binary operation * on R defined by a*b = a+b+1 is:,Commutative,Associative,Both,Neither,C,40,8
51,-1.8,"If y = sin(x^2), find dy/dx.",2x cos(x^2),cos(x^2),2x sin(x^2),-2x cos(x^2),A,35,6
52,2.4,Solve: P(A|B) if P(A and B) = 0.3 and P(B) = 0.6.,0.5,0.2,0.18,0.9,A,30,5
53,0.1,"Order of matrix [[1,2,3],[4,5,6]] is:",3x2,2x3,2x2,3x3,B,10,2
54,1.8,Find dy/dx if x^2 + y^2 = 1.,x/y,#NAME?,y/x,#NAME?,B,40,8
55,-1.3,Value of i^2 in complex numbers is:,1,-1,0,i,B,10,2
56,2.5,"The points (1,1,1), (1,2,3) and (2,-1,1) are:",Collinear,Vertices of Right Triangle,Coplanar,None,B,80,15
57,0.7,"Value of the determinant [[1,2],[2,4]] is:",0,8,4,1,A,15,3
58,1.4,"If y = tan^-1 x, then dy/dx is:",1/(1+x^2),1/(1-x^2),sec^2 x,1/x,A,20,4
59,-0.3,A function f: A -> B is one-to-one if:,f(x)=f(y)=>x=y,f(x)=y,A=B,f is onto,A,25,5
60,2.2,Area of region bounded by y^2 = x and x = 4.,08-Mar,16-Mar,32/3,4,C,70,12
61,-2.4,Derivative of cos x at x = pi/2.,0,1,-1,0.5,C,20,4
62,1.6,Integration of e^x(f(x)+f'(x)) dx is:,e^x f(x),e^x f'(x),f(x),e^x,A,30,6
63,0.8,Identity element for addition in matrices is:,I,O,A,None,B,15,3
64,2.7,Find the probability of getting exactly 2 heads in 3 tosses of a coin.,01-Aug,03-Aug,01-Feb,01-Apr,B,40,8
65,-0.9,Slope of normal to y = 2x + 3 is:,2,-0.5,01-Feb,-2,B,25,5
66,1.3,Find the value of k if vectors i+2j and ki+j are perpendicular.,-2,2,0,1,A,30,5
67,0.2,d/dx of a^x is:,a^x,a^x log a,x a^(x-1),a^x / log a,B,20,4
68,2.1,Evaluate integral of 1/x dx from 1 to e.,1,0,e,log 2,A,25,5
69,-1.5,Transpose of a row matrix is:,Row matrix,Column matrix,Square matrix,Diagonal matrix,B,15,3
70,1.1,A mapping f is onto if:,Range = Codomain,Range subset Codomain,Range = Domain,None,A,25,5
71,0.5,The scalar product of 2i and 3j is:,6,0,5,1,B,10,2
72,2.8,Find dy/dx if y = x^sin x.,y(sin x / x + cos x log x),y(cos x / x),x^sin x,sin x x^(sin x - 1),A,90,18
73,1.9,"If |a|=2, |b|=5 and |axb|=8, find a.b.",6,10,4,8,A,60,12
74,0.9,Derivative of 2^x at x=0.,1,log 2,0,2,B,25,5
75,-1.1,Is the function f(x)=x^2 even or odd?,Even,Odd,Both,Neither,A,15,3
76,2.3,Shortest distance between two parallel planes.,|d1-d2|/sqrt(a2+b2+c2),d1-d2,0,Infinity,A,50,10
77,0.6,Derivative of constant is:,1,0,Constant,Infinity,B,10,2
78,1.5,Integral of cos x from 0 to pi.,0,1,2,-1,A,25,5
79,-0.4,"If A is 2x3 and B is 3x2, order of AB is:",2x2,3x3,2x3,3x2,A,15,3
80,2.6,Solution of dy/dx = y/x.,y=kx,y=x+c,y=k/x,x^2+y^2=c,A,45,9
81,0.3,sin^-1(x) + cos^-1(x) = :,pi,pi/2,0,2pi,B,15,3
82,1.7,"Find the value of c in Mean Value Theorem for f(x)=x^2 in [2,4].",3,2,4,3.5,A,50,10
83,-1.7,Matrix A is symmetric if:,A' = A,A' = -A,det(A)=0,A is square,A,15,3
84,2,Find the area of a circle with radius 7.,49pi,14pi,7pi,21pi,A,20,4
85,0.1,The intersection of two lines in 3D is a:,Point,Line,Plane,Circle,A,20,4
86,1,"If y = log(log x), find dy/dx.",1/(x log x),1/log x,1/x,log x / x,A,35,7
87,-2.8,What is the derivative of 10x?,10,x,1,0,A,10,2
88,0.2,The value of e^0 is:,0,1,e,Infinity,B,10,2
89,1.2,Integration of 1/sqrt(x) is:,2sqrt(x),sqrt(x),1/2sqrt(x),x,A,25,5
90,-0.8,A diagonal matrix where all diagonal elements are equal is:,Identity,Scalar,Unit,Zero,B,15,3
91,2.2,The degree of y''' + y^2 = 0 is:,3,2,1,0,C,20,4
92,0.5,Find the perimeter of a square with side 5.,20,25,10,15,A,10,2
93,1.1,tan^-1(1) + tan^-1(1/3) = :,tan^-1(2),tan^-1(4/3),pi/4,pi/2,A,50,10
94,3,Integrating factor for dy/dx + Py = Q is:,e^(integral P dx),integral P dx,e^P,P^2,A,40,8
